code,duration,firstVol,firstVolDivLTGB,firstVolDivVol,highestVol,highestVolDivLTGB,highestVolDivVol,name,openTime,reason,time,times,updatedTime
000017.SZ,15000,3585000,0.011832454113231364,0.1706248620365917,3585000,0.011832454113231364,0.1706248620365917,深中华A,2018-07-30 09:36:16,低价超跌,2018-07-30 09:36:01,4,2018-07-30 09:36:16
000017.SZ,12439912,14388567,0.04749011402584521,0.38843624855020426,17003467,0.05612070935658125,0.45444268397173654,深中华A,,低价超跌,2018-07-30 10:02:32,4,2018-07-30 15:00:00
000509.SZ,256479,204332200,0.24767086141252653,162.4520591508984,204332200,0.24767086141252653,162.4520591508984,华塑控股,2018-07-30 09:34:16,实控人拟变更,2018-07-30 09:30:00,4,2018-07-30 09:34:16
000509.SZ,120035,42570680,0.05159987993334881,0.87235632815861,42570680,0.05159987993334881,0.87235632815861,华塑控股,2018-07-30 09:36:46,实控人拟变更,2018-07-30 09:34:46,4,2018-07-30 09:36:46
000509.SZ,60006,26605239,0.03224818438413596,0.3660686484619242,26605239,0.03224818438413596,0.3660686484619242,华塑控股,2018-07-30 09:41:16,实控人拟变更,2018-07-30 09:40:16,4,2018-07-30 09:41:16
000509.SZ,30045,3508700,0.00425289186647103,0.04483493086179441,3508700,0.00425289186647103,0.04483493086179441,华塑控股,2018-07-30 09:42:01,实控人拟变更,2018-07-30 09:41:31,4,2018-07-30 09:42:01
000509.SZ,45000,188889,0.00022895217367282654,0.002201390527709866,214400,0.0002598740320265024,0.002490162377751059,华塑控股,2018-07-30 09:43:31,实控人拟变更,2018-07-30 09:42:46,4,2018-07-30 09:43:31
000509.SZ,13385671,3033200,0.003676538777718223,0.03306406627210926,23022100,0.02790506507797267,0.24965203448444992,华塑控股,,实控人拟变更,2018-07-30 09:46:46,4,2018-07-30 15:00:00
000557.SZ,14165825,12945500,0.022119787894583277,0.6623549680280891,16695449,0.028527271305460004,0.7365138760202781,西部创业,,低价超跌,2018-07-30 09:33:46,2,2018-07-30 15:00:00
000819.SZ,1260054,5144451,0.018960795994365526,0.7736608711854787,10050500,0.037042918698490995,1.3865407391618951,岳阳兴长,2018-07-30 13:26:33,国企改革,2018-07-30 13:05:33,1,2018-07-30 13:26:33
000819.SZ,3040163,3893981,0.014351964737721374,0.33244197924319135,3893981,0.014351964737721374,0.33244197924319135,岳阳兴长,,国企改革,2018-07-30 14:09:19,1,2018-07-30 15:00:00
000911.SZ,2565147,11914800,0.03676489000030261,1.7146927820511897,14502645,0.04475007118360683,2.009955782107865,南宁糖业,2018-07-30 11:00:48,国企改革,2018-07-30 10:18:03,1,2018-07-30 11:00:48
000911.SZ,8928647,7714200,0.023803313059416388,0.707332947125253,7714200,0.023803313059416388,0.707332947125253,南宁糖业,,国企改革,2018-07-30 11:01:03,1,2018-07-30 15:00:00
002066.SZ,14392304,20583200,0.08910476499064121,46.36900202748367,20583200,0.08910476499064121,46.36900202748367,瑞泰科技,,国企改革,2018-07-30 09:30:00,2,2018-07-30 15:00:00
